track_id,class,fit_status,fit_method,n_points,n_used,A,B,C,initial_velocity_km_s,acceleration_km_s2,deceleration_km_s2,apex_time_sec,apex_height_Mm,rmse_Mm,r2,apex_inside_window,n_trimmed,n_outliers_removed,reject_reason
94,A,accepted,direct,14.0,14.0,-0.12223349154601242,29.304304262769293,6178.461816295786,29.304304262769293,-0.24446698309202483,0.24446698309202483,119.87019225307108,7.934818109206109,0.019182156075496767,0.9993153963446415,True,0.0,0.0,
96,C,rejected,,,,,,,,,,,,,,,,,
97,B,accepted,partial,5.0,5.0,-0.18220016307543704,34.54534694438,5579.042613308025,34.54534694438,-0.3644003261508741,0.3644003261508741,94.80053793935699,7.216501350122497,0.0016509122331237274,0.999991837179534,True,0.0,0.0,
98,A,accepted,direct,12.0,12.0,-0.13399475937982913,28.816793316574362,6936.254958101284,28.816793316574362,-0.26798951875965826,0.26798951875965826,107.52955358085553,8.485583418582795,0.01393780924464624,0.9993963205705729,True,0.0,0.0,
99,B,accepted,partial,7.0,7.0,-0.1111821187561589,2.8689893632091814,8588.316530097642,2.8689893632091814,-0.2223642375123178,0.2223642375123178,12.90220673659475,8.60682467704225,0.012005551278345666,0.9996316670470203,True,0.0,0.0,
100,A,accepted,direct,7.0,7.0,-0.18510108219758462,21.544944448323523,6780.4438142189,21.544944448323523,-0.37020216439516923,0.37020216439516923,58.19778088959402,7.407377792359903,0.010418992987566895,0.9983701585341168,True,0.0,0.0,
101,A,accepted,direct,12.0,12.0,-0.13754634714938058,19.660258103853483,6875.499815159537,19.660258103853483,-0.27509269429876115,0.27509269429876115,71.46775800051489,7.578037099356468,0.026582758339851405,0.9991905218742833,True,0.0,0.0,
103,A,accepted,direct,7.0,7.0,-0.1273403859327452,12.749404235654218,6684.738460685647,12.749404235654218,-0.2546807718654904,0.2546807718654904,50.06033295041141,7.003858171163764,0.013411848588396875,0.9956725870628154,True,0.0,0.0,
104,E,rejected,,,,,,,,,,,,,,,,,
105,A,accepted,direct,8.0,8.0,-0.11679410029443052,6.442143646967389,8323.810069618603,6.442143646967389,-0.23358820058886104,0.23358820058886104,27.57906277255081,8.412644211633355,0.01247740350025147,0.9998460876270356,True,0.0,0.0,
106,D,rejected,,,,,,,,,,,,,,,,,
107,A,accepted,direct,16.0,16.0,-0.12825221373972884,30.553098540937043,7265.31971254584,30.553098540937043,-0.2565044274794577,0.2565044274794577,119.11333789115163,9.084960487609983,0.06437154785699889,0.9971948983509229,True,0.0,0.0,
109,D,rejected,,,,,,,,,,,,,,,,,
110,A,accepted,direct,10.0,10.0,-0.1575226928577525,26.34345737687737,7208.52221448713,26.34345737687737,-0.315045385715505,0.315045385715505,83.6179756038905,8.309915502618061,0.014312703047246023,0.9990820639961154,True,0.0,0.0,
111,C,rejected,,,,,,,,,,,,,,,,,
112,A,accepted,direct,14.0,14.0,-0.14206774729697041,35.446501205100894,5868.811179104016,35.446501205100894,-0.28413549459394083,0.28413549459394083,124.75210552542065,8.079824008526865,0.021936064350390028,0.9992991971566558,True,0.0,0.0,
113,C,rejected,,,,,,,,,,,,,,,,,
114,C,rejected,,,,,,,,,,,,,,,,,
115,A,accepted,direct,13.0,13.0,-0.14619712279121602,32.00809582738354,5632.433500347035,32.00809582738354,-0.29239424558243204,0.29239424558243204,109.46896633901022,7.384380082698867,0.03927841604062229,0.9973458790841112,True,0.0,0.0,
116,C,rejected,,,,,,,,,,,,,,,,,
118,A,accepted,direct,16.0,16.0,-0.12167497227750654,40.21026093800384,6294.182590467488,40.21026093800384,-0.24334994455501308,0.24334994455501308,165.2363677811058,9.616281322930606,0.0396292743934719,0.9983709986689513,True,0.0,0.0,
120,A,accepted,direct,17.0,17.0,-0.14377067798180906,46.949508732485754,7540.929119819996,46.949508732485754,-0.28754135596361813,0.28754135596361813,163.27915188111638,11.373867103357666,0.059052239064529485,0.9977059794622817,True,0.0,0.0,
121,A,accepted,direct,18.0,18.0,-0.14062272429830172,50.17042414437611,6491.166913897564,50.17042414437611,-0.28124544859660344,0.28124544859660344,178.38661708028798,10.966033034196792,0.09298778166973846,0.9954137693496137,True,0.0,0.0,
122,E,rejected,,,,,,,,,,,,,,,,,
123,B,accepted,partial,9.0,9.0,-0.11336684146826703,1.1921577216376986,7649.382607207556,1.1921577216376986,-0.22673368293653406,0.22673368293653406,5.257964790222193,7.652516768869938,0.007995945263400552,0.9999235467156927,True,0.0,0.0,
125,C,rejected,,,,,,,,,,,,,,,,,
126,D,rejected,,,,,,,,,,,,,,,,,
127,B,accepted,partial,7.0,7.0,-0.13790949783874043,3.6187155672892355,9546.03150297102,3.6187155672892355,-0.27581899567748086,0.27581899567748086,13.119892480214277,9.569770082550676,0.012866129753437903,0.9994558127867106,True,0.0,0.0,
128,A,accepted,direct,11.0,11.0,-0.1464219126269264,27.715697483283755,6624.732493891764,27.715697483283755,-0.2928438252538528,0.2928438252538528,94.64327089450596,7.936284626362064,0.02394107536652374,0.9979380692519829,True,0.0,0.0,
129,C,rejected,,,,,,,,,,,,,,,,,
130,A,accepted,direct,10.0,10.0,-0.10829818626287413,17.383972809984993,6714.033316871712,17.383972809984993,-0.21659637252574826,0.21659637252574826,80.25975969619918,7.411650057019039,0.013150453641952968,0.9984822681439325,True,0.0,0.0,
131,D,rejected,,,,,,,,,,,,,,,,,
132,D,rejected,,,,,,,,,,,,,,,,,
133,A,accepted,direct,8.0,8.0,-0.12987125449958936,21.872222531415833,4950.2497008583905,21.872222531415833,-0.2597425089991787,0.2597425089991787,84.20732754023328,5.8711504042262925,0.0035527491297342906,0.9998519951831027,True,0.0,0.0,
134,E,rejected,,,,,,,,,,,,,,,,,
135,D,rejected,,,,,,,,,,,,,,,,,
136,E,rejected,,,,,,,,,,,,,,,,,
137,D,rejected,,,,,,,,,,,,,,,,,
138,E,rejected,,,,,,,,,,,,,,,,,
140,D,rejected,,,,,,,,,,,,,,,,,
141,C,rejected,,,,,,,,,,,,,,,,,
142,A,accepted,direct,13.0,13.0,-0.11731646799240515,30.34065660702465,6219.924523588534,30.34065660702465,-0.2346329359848103,0.2346329359848103,129.31115778642794,8.18161724051593,0.010873245652330934,0.9996769486911886,True,0.0,0.0,
143,D,rejected,,,,,,,,,,,,,,,,,
144,A,accepted,direct,11.0,11.0,-0.1285162404277023,21.026862906393347,6696.682377016472,21.026862906393347,-0.2570324808554046,0.2570324808554046,81.80624813025929,7.556746759177152,0.014467796229469324,0.9992875849483899,True,0.0,0.0,
145,B,accepted,partial,6.0,6.0,-0.17720342057899333,50.197373690209616,6069.467686711685,50.197373690209616,-0.35440684115798665,0.35440684115798665,141.63771084721458,9.62438823672343,0.019699538084192867,0.9996925426946479,True,0.0,0.0,
146,E,rejected,,,,,,,,,,,,,,,,,
147,D,rejected,,,,,,,,,,,,,,,,,
148,C,rejected,,,,,,,,,,,,,,,,,
149,A,accepted,direct,7.0,7.0,-0.08944153803044051,19.812165968706005,7573.958181524437,19.812165968706005,-0.17888307606088102,0.17888307606088102,110.75483720977124,8.67110478984294,0.024007251953464787,0.9961011884349132,True,0.0,0.0,
150,D,rejected,,,,,,,,,,,,,,,,,
151,E,rejected,,,,,,,,,,,,,,,,,
152,C,rejected,,,,,,,,,,,,,,,,,
153,D,rejected,,,,,,,,,,,,,,,,,
155,C,rejected,,,,,,,,,,,,,,,,,
156,C,rejected,,,,,,,,,,,,,,,,,
157,D,rejected,,,,,,,,,,,,,,,,,
158,C,rejected,,,,,,,,,,,,,,,,,
159,D,rejected,,,,,,,,,,,,,,,,,
160,D,rejected,,,,,,,,,,,,,,,,,
161,C,rejected,,,,,,,,,,,,,,,,,
162,C,rejected,,,,,,,,,,,,,,,,,
164,A,accepted,direct,9.0,9.0,-0.15350665686774054,14.540224558949522,8604.914898928664,14.540224558949522,-0.3070133137354811,0.3070133137354811,47.36024109845999,8.949229169297464,0.014876721389897924,0.9994425668853778,True,0.0,0.0,
165,E,rejected,,,,,,,,,,,,,,,,,
167,D,rejected,,,,,,,,,,,,,,,,,
169,D,rejected,,,,,,,,,,,,,,,,,
170,D,rejected,,,,,,,,,,,,,,,,,
171,D,rejected,,,,,,,,,,,,,,,,,
172,A,accepted,direct,13.0,13.0,-0.11317097740004102,21.107565615778775,7939.974227059493,21.107565615778775,-0.22634195480008204,0.22634195480008204,93.25520597549918,8.9241694166299,0.016156936721381267,0.999499005183126,True,0.0,0.0,
173,D,rejected,,,,,,,,,,,,,,,,,
174,A,accepted,direct,10.0,10.0,-0.14012016656011064,42.51798613479808,6277.978903024326,42.51798613479808,-0.2802403331202213,0.2802403331202213,151.71972450003526,9.503387474358266,0.018755908487313684,0.9996950164263436,True,0.0,0.0,
175,D,rejected,,,,,,,,,,,,,,,,,
176,E,rejected,,,,,,,,,,,,,,,,,
177,B,accepted,partial,5.0,5.0,-0.12260374564694963,1.782194979468107,7877.13294575651,1.782194979468107,-0.24520749129389927,0.24520749129389927,7.2681098365466115,7.883609540186968,0.00957236865846052,0.99842990516177,True,0.0,0.0,
178,E,rejected,,,,,,,,,,,,,,,,,
179,A,accepted,direct,11.0,11.0,-0.13247654549611984,34.309369543477246,5578.79816728152,34.309369543477246,-0.2649530909922397,0.2649530909922397,129.49224111705928,7.800196744030644,0.04144426272976978,0.996306022203671,True,0.0,0.0,
180,A,accepted,direct,8.0,8.0,-0.15825779722833658,18.385159372777213,6469.100156406733,18.385159372777213,-0.31651559445667315,0.31651559445667315,58.08610916734436,7.003061343599814,0.011377049286517558,0.998866033219138,True,0.0,0.0,
181,D,rejected,,,,,,,,,,,,,,,,,
182,A,accepted,direct,15.0,15.0,-0.12395563454418083,24.941767209387585,7467.012692740986,24.941767209387585,-0.24791126908836167,0.24791126908836167,100.60763797105861,8.72167883562123,0.06307876690080576,0.9971419914499844,True,0.0,0.0,
183,A,accepted,direct,8.0,8.0,-0.16514318089240101,15.459878127859767,5611.023919340316,15.459878127859767,-0.33028636178480203,0.33028636178480203,46.807497725057885,5.97284302449005,0.00774338672636977,0.9997210098544982,True,0.0,0.0,
188,B,accepted,partial,6.0,6.0,-0.1541765240811244,29.709902659920022,6839.224614577161,29.709902659920022,-0.3083530481622488,0.3083530481622488,96.35028042365032,8.270503340898486,0.0026688040044492095,0.9999728133001324,True,0.0,0.0,
189,D,rejected,,,,,,,,,,,,,,,,,
190,C,rejected,,,,,,,,,,,,,,,,,
191,D,rejected,,,,,,,,,,,,,,,,,
192,A,accepted,direct,9.0,9.0,-0.09132686786685845,3.2408754156992643,8033.338463226559,3.2408754156992643,-0.1826537357337169,0.1826537357337169,17.743274741579874,8.062090334678551,0.027357350898848356,0.9980870792673541,True,0.0,0.0,
193,D,rejected,,,,,,,,,,,,,,,,,
194,E,rejected,,,,,,,,,,,,,,,,,
196,D,rejected,,,,,,,,,,,,,,,,,
197,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
198,D,rejected,,,,,,,,,,,,,,,,,
199,D,rejected,,,,,,,,,,,,,,,,,
200,A,accepted,direct,17.0,17.0,-0.12707971359532477,36.47300312390509,6443.805379769803,36.47300312390509,-0.25415942719064955,0.25415942719064955,143.50442762269068,9.060824098258108,0.06599099348037535,0.9967774321028312,True,0.0,0.0,
201,D,rejected,,,,,,,,,,,,,,,,,
202,C,rejected,,,,,,,,,,,,,,,,,
203,A,accepted,direct,6.0,6.0,-0.12209073309155784,9.12593428765757,6651.636867207311,9.12593428765757,-0.24418146618311568,0.24418146618311568,37.373574785622274,6.822171261001534,0.007989330353044957,0.9975444189985251,True,0.0,0.0,
204,B,accepted,partial,6.0,6.0,-0.15292098997987832,36.672409587601045,7458.947552869324,36.672409587601045,-0.30584197995975665,0.30584197995975665,119.90639608214177,9.657575787518034,0.005176211566021656,0.9999518635751269,True,0.0,0.0,
205,C,rejected,,,,,,,,,,,,,,,,,
206,D,rejected,,,,,,,,,,,,,,,,,
207,A,accepted,direct,18.0,18.0,-0.15587622674242302,46.36191658391427,7452.429855687933,46.36191658391427,-0.31175245348484604,0.31175245348484604,148.71387880245786,10.899760077642878,0.1077749855048426,0.9957265455015019,True,0.0,0.0,
208,E,rejected,,,,,,,,,,,,,,,,,
209,A,accepted,direct,11.0,11.0,-0.12382112159559143,26.510002674894544,6561.093812360441,26.510002674894544,-0.24764224319118286,0.24764224319118286,107.0495983774,7.980036382026072,0.019021357148718103,0.9982254667748267,True,0.0,0.0,
210,A,accepted,direct,11.0,11.0,-0.14180890991397527,25.24435944723816,7041.259478346435,25.24435944723816,-0.28361781982795053,0.28361781982795053,89.00836859458268,8.16473910365339,0.03764917752000827,0.997017455885323,True,0.0,0.0,
212,A,accepted,direct,6.0,6.0,-0.11375034798145896,9.211774573080879,6443.555663797019,9.211774573080879,-0.22750069596291791,0.22750069596291791,40.49119293499822,6.630053534553183,0.00876683056180116,0.9994495238645303,True,0.0,0.0,
213,A,accepted,direct,7.0,7.0,-0.13206102890734678,6.165893559928516,7182.876869619128,6.165893559928516,-0.26412205781469356,0.26412205781469356,23.34486415464198,7.254847843393385,0.003544728462032194,0.9999315118649131,True,0.0,0.0,
214,A,accepted,direct,5.0,5.0,-0.15868252644575445,9.266835241429833,6019.9332888969275,9.266835241429833,-0.3173650528915089,0.3173650528915089,29.199293233454082,6.155225808677235,0.010060694001740948,0.9951290957849106,True,0.0,0.0,
215,A,accepted,direct,6.0,6.0,-0.14713550692020624,4.411721373017972,6678.208455110735,4.411721373017972,-0.2942710138404125,0.2942710138404125,14.992035115665567,6.711278795983143,0.009068085581554792,0.9994346337716269,True,0.0,0.0,
216,B,rejected,,,,,,,,,,,,,,,,,negative_v0
217,A,accepted,direct,7.0,7.0,-0.10702677522632853,17.975827316785185,7544.280042672684,17.975827316785185,-0.21405355045265706,0.21405355045265706,83.97817872570612,8.299068662248391,0.01579020271176023,0.9968714487941022,True,0.0,0.0,
219,C,rejected,,,,,,,,,,,,,,,,,
220,A,accepted,direct,16.0,16.0,-0.12312378395177592,35.30555081193317,7099.0178698096815,35.30555081193317,-0.24624756790355184,0.24624756790355184,143.3742112156062,9.629970619406395,0.06206672541695414,0.9956831826042919,True,0.0,0.0,
222,D,rejected,,,,,,,,,,,,,,,,,
224,A,accepted,direct,14.0,14.0,-0.1266376105803244,30.823009685090845,7575.743511274073,30.823009685090845,-0.2532752211606488,0.2532752211606488,121.6976913250438,9.451288070456583,0.04349120630510298,0.9966483772495277,True,0.0,0.0,
