track_id,start_frame,end_frame,lifetime_frames,start_time,end_time,duration,start_x,start_z,end_x,end_z,min_z,max_z,horizontal_drift,vertical_range,assigned_detections,missed_frames
15,3,16,14,50.80000296636629,53.40000787525469,2.600004908888394,-3.1265625000000004,6.966205668246534,-2.431770833333333,7.575446798790789,6.952635603871523,8.488175484822436,0.6947916666666671,1.535539880950913,14,0
16,3,31,29,50.80000296636629,56.4000072351294,5.600004268763108,-0.9942708333333332,9.479145718908619,-0.059895833333333925,6.75793110471341,5.741815868695488,9.479145718908619,0.9343749999999993,3.737329850213131,29,0
17,3,34,32,50.80000296636629,57.000009015727336,6.200006049361043,1.3296875000000004,6.004561649335456,2.1682291666666664,5.716455726469277,5.716455726469277,8.766020762701338,0.8385416666666661,3.049565036232061,32,0
18,4,8,5,51.00000426189876,51.80000686314391,0.8000026012451542,-6.3609374999999995,8.201708574855054,-5.761979166666666,6.437506322114762,6.437506322114762,8.201708574855054,0.598958333333333,1.7642022527402919,5,0
19,6,20,15,51.40000260569677,54.20000114717838,2.7999985414816067,-8.876562499999999,5.39377016687496,-8.325520833333332,6.229430575868992,5.39377016687496,7.690493616117229,0.5510416666666664,2.2967234492422692,15,0
20,8,26,19,51.80000686314391,55.40000619541943,3.599999332275516,-5.2828124999999995,6.535505506825336,-4.947395833333333,5.674888168182566,5.674888168182566,9.89148367626609,0.33541666666666625,4.216595508083524,19,0
21,12,29,16,52.60000033006905,56.000006814799285,3.400006484730234,-1.0421875000000007,5.456206724438716,-1.5932291666666671,6.1722781461968195,5.456206724438716,8.706791203833182,-0.5510416666666664,3.2505844793944663,16,2
22,13,21,8,52.8000012093067,54.4000068024126,1.600005593105898,9.0203125,5.471088943192676,9.044270833333332,6.407853119069971,5.471088943192676,6.407853119069971,0.02395833333333286,0.9367641758772951,8,1
23,14,55,37,53.000000924390186,61.20000670959354,8.200005785203352,-3.1265625000000004,6.770960035682007,-2.359895833333333,7.316764572149461,5.64604323460302,8.727093243685719,0.7666666666666675,3.0810500090826984,37,5
24,14,26,13,53.000000924390186,55.40000619541943,2.4000052710292437,5.210937499999998,7.340659252143629,5.186979166666669,4.2865755452124334,4.2865755452124334,8.236817755553439,-0.023958333333329307,3.9502422103410053,13,0
25,18,25,8,53.80000816649914,55.200002467231975,1.3999943007328355,6.384895833333333,7.690554908871856,6.3609375,6.178846180679614,6.178846180679614,7.8661797845565,-0.02395833333333286,1.6873336038768851,8,0
