track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
93,A,7,7,1,-0.7075174241048945,1.2622469978210307,6.37327228766035,0.00955248812629696,0.01821361401582147,0.9978052977827189,0.4942769794081548,0.8920253797409614,True
94,E,32,32,2,-0.5209599531498998,2.509804082706092,7.994224308487353,0.5459104409728555,0.08561652366164883,0.9349838769092824,2.4304774985097777,2.408826309518581,True
95,E,15,15,3,-0.27023548793786484,0.619909588328512,5.800998782099767,0.06387999594613943,0.07750679045857564,0.9186771043491927,0.7432931551594419,1.1469803486192154,True
96,D,11,11,1,-0.6098617932207878,0.9926242312490164,6.778366475925069,0.10553817298078141,0.1295116717684973,0.8575369827012826,1.8911497914278423,0.8138108029417556,True
97,D,11,11,1,-0.3425931100987076,0.573905157098351,5.969526826676321,0.09972939562920143,0.11709040203395392,0.88187840843452,0.8195596597702215,0.8375900451310857,True
98,D,36,36,1,-0.2623565930675619,1.8257610118045935,6.147430015594606,0.4014974645309451,0.11120445152610499,0.8640092977575937,0.8860440477107696,3.4795409378837765,True
99,A,10,10,1,-0.7143187766200488,0.6320347323636566,5.911977676465713,0.018103256541523664,0.0138403736330535,0.9982234123848016,0.8518382130959901,0.44240383498965496,True
100,E,27,27,3,-0.38419075741247255,2.4265586255679175,4.7021225016730925,0.6210570717705115,0.1934858317070646,0.7469614041638156,1.4630687439638193,3.158012756359376,True
101,E,25,25,3,-0.22329249993666195,1.7287316374089974,4.10628137467307,0.4310791028117687,0.13117025492158732,0.8519531805085363,1.2030212277619792,3.8710024696292105,True
102,E,25,25,3,-0.28598647171323954,1.4207823328592863,5.296403706129812,0.34896865936788646,0.14418097230110463,0.7017406712542114,1.2592876301381548,2.484002694861584,True
103,D,8,8,1,-1.1761172028120168,1.5238170617310538,5.865750733200352,0.10165440052146958,0.13086429032457975,0.8276988004660968,1.954223351010506,0.6478168409099493,True
104,E,19,19,3,-0.30962240016056924,0.738438630947916,6.793329619258065,0.1689041770772038,0.07971082827384805,0.9339024756778898,1.2049857270840185,1.1924825700029518,True
105,D,19,19,1,-0.5325247588541183,1.84971175784604,7.2959809319399165,0.1432162062585627,0.07656669360171948,0.941384724276636,1.046254750715657,1.736737801474463,True
106,E,29,29,4,-0.05229561812352747,0.11750644548040273,6.503506822514502,0.3735096687759646,0.22816393089797846,0.5057198811221102,1.5027708171747824,1.1234827094197528,True
107,D,12,12,1,-0.6470017290087687,2.197481444834619,5.494994838771652,0.06304132306794905,0.031931249798877424,0.9890844635520909,0.5056132784993017,1.6982036881116565,True
108,E,29,29,5,-0.15293733046952163,1.1580188962421563,4.884407737103093,0.3067384735694737,0.13515742149912974,0.8115027035194771,0.4824533785587617,3.785926211367126,True
109,D,7,7,1,-1.3167087629419303,1.8371694652080377,7.1402690375256705,0.04877285290244859,0.0699379122279591,0.9652505579514388,0.932314865153653,0.6976369858370347,True
110,E,19,19,3,-0.17241214424893017,0.9194187451302075,5.339401573194034,0.21035836367081107,0.16061264138285347,0.761195182524426,0.8903045452221974,2.6663398600354467,True
112,D,14,14,1,-1.0217095068766981,3.0333836877755465,6.1854929559014575,0.05269413164735913,0.02418425716742592,0.9937255510977064,1.0823669965230533,1.484464844145578,True
113,B,9,9,0,-0.4167318373040764,-0.1918936788602386,6.78182425059093,0.07394014220795331,0.06160504827910074,0.9741613757135628,2.421762393963607,-0.23023640346468136,False
114,E,30,30,3,-0.12374905290269159,0.012151791731789116,9.566029153721756,0.49792056719393785,0.10620363039831905,0.8659496683109351,1.1241760859050303,0.04909852417757296,True
115,A,10,10,1,-0.7706783994392764,0.9885965910541469,6.500631549269434,0.01300370585245341,0.012661344465862581,0.9983548283807814,1.389620644885401,0.6413807573777995,True
116,A,14,14,1,-0.7759977634793324,1.7599778472937573,5.906798040130966,0.03154294199142972,0.01935690157025068,0.9959312201512271,1.330949997366046,1.1340096132510515,True
